Player,2024-2025_std_Pos,2024-2025_std_Age,2024-2025_std_Min,2024-2025_std_90s,2024-2025_poss_Att Pen,2024-2025_play_Min,2024-2025_play_90s,2025-2026_std_Pos,2025-2026_std_Age,2025-2026_std_Min,2025-2026_std_90s,2025-2026_poss_Att Pen,2025-2026_play_Min,2025-2026_play_90s,MarketValue,Season,Weekly_Gross_EUR,Yearly_Gross_EUR,Position,Age,Latest_Pos,Latest_Pos4,Age_latest,Minutes_2425,Minutes_2526,xG_plus_xAG_2425,xG_plus_xAG_2526,PrgPasses_25,PrgPasses_per90_25,FinalThirdTouches_25,FinalThirdTouches_per90_25,PrgPasses_26,PrgPasses_per90_26,FinalThirdTouches_26,FinalThirdTouches_per90_26
Mërgim Vojvoda,DF,29.0,717.0,8.0,32.0,717.0,8.0,"FW,DF",30-244,281.0,3.1,5.0,281.0,3.1,,2025-2026,,,,,"FW,DF",DF,30-244,717.0,281.0,,,,,,,,,,
Naj Razi,FW,17.0,,,,,,,,,,,,,,2024-2025,3269.0,170000.0,F,18.0,,,,,,,,,,,,,,,
Nicolas-Gerrit Kühn,,,,,,,,FW,25-275,212.0,2.4,0.0,212.0,2.4,,,,,,,FW,FW,25-275,,212.0,,,,,,,,,,
Nicolás Paz,"MF,FW",19.0,2687.0,29.9,21.0,2687.0,29.9,MF,21-025,437.0,4.9,2.0,437.0,4.9,,,,,,,MF,MF,21-025,2687.0,437.0,,,,,,,,,,
Nikola Čavlina,,,,,,,,GK,23-123,,,,,,,,,,,,GK,GK,23-123,,,,,,,,,,,,
Oliver Abildgaard,MF,28.0,7.0,0.1,0.0,7.0,0.1,,,,,,,,,2024-2025,,,,,,,,7.0,,,,,,,,,,,
Patrick Cutrone,FW,26.0,2047.0,22.7,5.0,2047.0,22.7,FW,27-273,,,,,,,2024-2025,12308.0,640000.0,F,27.0,FW,FW,27-273,2047.0,,,,,,,,,,,
Pepe Reina,GK,41.0,1034.0,11.5,307.0,1034.0,11.5,,,,,,,,,2024-2025,17885.0,930000.0,K,42.0,,,,1034.0,,,,,,,,,,,
Pierre Bolchini,GK,25.0,,,,,,,,,,,,,,2024-2025,3654.0,190000.0,K,25.0,,,,,,,,,,,,,,,
Sergi Roberto,MF,32.0,696.0,7.7,19.0,696.0,7.7,MF,33-238,184.0,2.0,3.0,184.0,2.0,,2025-2026,42692.0,2220000.0,M,33.0,MF,MF,33-238,696.0,184.0,,,,,,,,,,
Simone Verdi,"MF,FW",32.0,115.0,1.3,2.0,115.0,1.3,,,,,,,,,2025-2026,,,,,,,,115.0,,,,,,,,,,,
Stefan Posch,,,,,,,,DF,28-142,99.0,1.1,1.0,99.0,1.1,,2025-2026,19231.0,1000000.0,D,28.0,DF,DF,28-142,,99.0,,,,,,,,,,
Sven Lesjak,MF,17.0,,,,,,,,,,,,,,2024-2025,,,,,,,,,,,,,,,,,,,
Tommaso Cassandro,"DF,MF",24.0,,,,,,,,,,,,,,2024-2025,,,,,,,,,,,,,,,,,,,
William Feola,DF,18.0,,,,,,,,,,,,,,2024-2025,,,,,,,,,,,,,,,,,,,
Yannik Engelhardt,"MF,DF",23.0,1164.0,12.9,42.0,1164.0,12.9,,,,,,,,,2024-2025,17885.0,930000.0,M,23.0,,,,1164.0,,,,,,,,,,,
